"","link","nombre","direccion","localidad","provincia","pais","telefono","google_link","coordenadas","web_oficial"
"42","http://www.alternativateatral.com.ar/espacio6973-la-pausa-teatral","(LA PAUSA) TEATRAL","Luis Viale 625","Capital Federal","Buenos Aires","Argentina","1551232030","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Luis+Viale+625%2C+Capital+Federal%2C+Argentina","0","NaN"
"43","http://www.alternativateatral.com.ar/espacio6648-junta-vecinal-manuel-belgrano","JUNTA VECINAL MANUEL BELGRANO","Ramón Castro 5175","Carapachay","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Ram%C3%B3n+Castro+5175%2C+Carapachay%2C+Argentina","0","NaN"
"44","http://www.alternativateatral.com.ar/espacio6536-teatro-de-la-sociedad-espanola","TEATRO DE LA SOCIEDAD ESPAÑOLA","Plaza Levalle 115","Carhué","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Plaza+Levalle+115%2C+Carhu%C3%A9%2C+Argentina","0","NaN"
"45","http://www.alternativateatral.com.ar/espacio2800-auditorio-carilo-village","AUDITORIO CARÍLÓ VILLAGE","Boyero entre Arrayán y Avellano","Cariló","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Boyero+entre+Array%C3%A1n+y+Avellano%2C+Caril%C3%B3%2C+Argentina","0","NaN"
"46","http://www.alternativateatral.com.ar/espacio3484-club-atletico-smith","CLUB  ATLÉTICO  SMITH","Dr.  Enrique  Smith  esq.  Salta","Carlos Casares","Buenos Aires","Argentina","02365  15  516175","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Dr%2E++Enrique++Smith++esq%2E++Salta%2C+Carlos+Casares%2C+Argentina","0","NaN"
"47","http://www.alternativateatral.com.ar/espacio2767-cine-teatro-italia-de-carmen-de-areco","CINE TEATRO ITALIA DE CARMEN DE ARECO","Saavedra y Alberti","Carmen de Areco","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Saavedra+y+Alberti%2C+Carmen+de+Areco%2C+Argentina","0","NaN"
"48","http://www.alternativateatral.com.ar/espacio6746-el-caldero-sala-teatral","EL CALDERO SALA TEATRAL","Patagonia 277","Carmen de Patagones","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Patagonia+277%2C+Carmen+de+Patagones%2C+Argentina","0","NaN"
"49","http://www.alternativateatral.com.ar/espacio4003-auditorio-escuela-n-12","AUDITORIO ESCUELA N° 12","Belgrano 4860","Caseros","Buenos Aires","Argentina","4716-2144","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Belgrano+4860%2C+Caseros%2C+Argentina","0","NaN"
"50","http://www.alternativateatral.com.ar/espacio5549-bar-la-tarzan-castelar","BAR LA TARZAN CASTELAR","Los incas 2309","Castelar","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Los+incas+2309%2C+Castelar%2C+Argentina","0","NaN"
"51","http://www.alternativateatral.com.ar/espacio2043-uvay-j","U.V.A.Y J.","Lincoln 777","Castelar Norte","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Lincoln+777%2C+Castelar+Norte%2C+Argentina","0","NaN"
